time_passed,force_0,force_1,force_2,force_3
0.004,0.41796875,0.2421875,0.486328125,0.687469482422
0.004,0.37890625,0.2109375,0.462890625,0.654266357422
0.004,0.37890625,0.08984375,0.40625,0.677703857422
0.004,0.416015625,0.134765625,0.458984375,0.716766357422
0.004,0.416015625,0.27734375,0.46875,0.669891357422
0.004,0.373046875,0.171875,0.427734375,0.644500732422
0.004,0.373046875,0.0390625,0.46875,0.675750732422
0.004,0.431640625,0.189453125,0.509735107422,0.691375732422
0.004,0.39453125,0.2578125,0.455078125,0.669891357422
0.004,0.39453125,0.10546875,0.439453125,0.669891357422
0.004,0.39453125,0.1640625,0.4609375,0.679656982422
0.004,0.39453125,0.1640625,0.4609375,0.669891357422
0.004,0.39453125,0.1640625,0.4609375,0.669891357422
0.004,0.40234375,0.150390625,0.447265625,0.662078857422
0.004,0.373046875,0.171875,0.482421875,0.687469482422
0.004,0.373046875,0.095703125,0.453125,0.687469482422
0.004,0.458984375,0.123046875,0.36328125,0.687469482422
0.004,0.421875,0.18359375,0.4609375,0.677703857422
0.004,0.505828857422,0.154296875,0.4609375,0.662078857422
0.004,0.380859375,0.236328125,0.3984375,0.654266357422
0.004,0.357421875,0.17578125,0.41796875,0.636688232422
0.004,0.357421875,0.0625,0.46875,0.671844482422
0.004,0.41796875,0.2265625,0.4921875,0.693328857422
0.004,0.38671875,0.2265625,0.4609375,0.658172607422
0.004,0.373046875,0.091796875,0.41015625,0.675750732422
0.004,0.416015625,0.134765625,0.455078125,0.712860107422
0.004,0.42578125,0.275390625,0.46875,0.667938232422
0.004,0.373046875,0.169921875,0.4375,0.642547607422
0.004,0.373046875,0.04296875,0.466796875,0.675750732422
0.004,0.43359375,0.171875,0.507781982422,0.691375732422
0.004,0.39453125,0.26171875,0.453125,0.669891357422
0.004,0.34375,0.111328125,0.421875,0.662078857422
0.004,0.37109375,0.111328125,0.453125,0.695281982422
0.004,0.37109375,0.326171875,0.46484375,0.675750732422
0.004,0.392578125,0.150390625,0.46484375,0.675750732422
0.004,0.392578125,0.169921875,0.451171875,0.675750732422
0.004,0.392578125,0.16015625,0.451171875,0.675750732422
0.004,0.392578125,0.16796875,0.451171875,0.675750732422
0.004,0.4140625,0.16796875,0.458984375,0.675750732422
0.004,0.3984375,0.1875,0.478515625,0.693328857422
0.004,0.33203125,0.15625,0.46484375,0.685516357422
0.004,0.38671875,0.1875,0.46484375,0.699188232422
0.004,0.427734375,0.162109375,0.46484375,0.681610107422
0.004,0.3984375,0.287109375,0.46484375,0.681610107422
0.004,0.423828125,0.271484375,0.517547607422,0.691375732422
0.004,0.390625,0.228515625,0.478515625,0.662078857422
0.004,0.36328125,0.080078125,0.419921875,0.677703857422
0.004,0.40234375,0.130859375,0.455078125,0.714813232422
0.004,0.427734375,0.287109375,0.46875,0.669891357422
0.004,0.365234375,0.171875,0.435546875,0.646453857422
0.004,0.373046875,0.046875,0.4609375,0.673797607422
0.004,0.43359375,0.162109375,0.507781982422,0.691375732422
0.004,0.3984375,0.265625,0.453125,0.669891357422
0.004,0.34375,0.111328125,0.419921875,0.662078857422
0.004,0.3671875,0.111328125,0.453125,0.691375732422
0.004,0.43359375,0.3203125,0.46875,0.677703857422
0.004,0.3671875,0.177734375,0.4609375,0.638641357422
0.004,0.3828125,0.0703125,0.435546875,0.683563232422
0.004,0.3828125,0.1640625,0.482421875,0.705047607422
0.004,0.392578125,0.1640625,0.458984375,0.673797607422
0.004,0.392578125,0.171875,0.458984375,0.673797607422
0.004,0.392578125,0.1640625,0.458984375,0.673797607422
0.004,0.392578125,0.1640625,0.458984375,0.673797607422
0.004,0.416015625,0.107421875,0.458984375,0.673797607422
0.004,0.3828125,0.173828125,0.458984375,0.673797607422
0.004,0.419921875,0.154296875,0.447265625,0.673797607422
0.004,0.396484375,0.119140625,0.486328125,0.687469482422
0.004,0.4609375,0.166015625,0.45703125,0.679656982422
0.004,0.36328125,0.166015625,0.4375,0.746063232422
0.004,0.38671875,0.119140625,0.40625,0.689422607422
0.004,0.421875,0.306640625,0.455078125,0.660125732422
0.004,0.3671875,0.16796875,0.44140625,0.638641357422
0.004,0.376953125,0.0546875,0.458984375,0.677703857422
0.004,0.439453125,0.15625,0.498046875,0.695281982422
0.004,0.39453125,0.265625,0.451171875,0.675750732422
0.004,0.345703125,0.123046875,0.421875,0.656219482422
0.004,0.365234375,0.109375,0.458984375,0.687469482422
0.004,0.43359375,0.306640625,0.47265625,0.687469482422
0.004,0.3671875,0.1796875,0.462890625,0.640594482422
0.004,0.3828125,0.076171875,0.4296875,0.683563232422
0.004,0.4453125,0.138671875,0.478515625,0.705047607422
0.004,0.404296875,0.23828125,0.4609375,0.673797607422
0.004,0.359375,0.166015625,0.42578125,0.644500732422
0.004,0.392578125,0.0703125,0.46875,0.673797607422
0.004,0.392578125,0.158203125,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.45703125,0.673797607422
0.004,0.392578125,0.166015625,0.46875,0.681610107422
0.004,0.40234375,0.1796875,0.484375,0.681610107422
0.004,0.40234375,0.166015625,0.462890625,0.673797607422
0.004,0.41796875,0.22265625,0.451171875,0.673797607422
0.004,0.408203125,0.244140625,0.939422607422,1.99996948242
0.004,0.623016357422,0.16796875,0.4609375,0.677703857422
0.004,0.408203125,0.216796875,0.490234375,0.677703857422
0.004,0.345703125,0.1328125,0.4296875,0.656219482422
0.004,0.361328125,0.09375,0.447265625,0.679656982422
0.004,0.431640625,0.29296875,0.4765625,0.679656982422
0.004,0.369140625,0.1796875,0.466796875,0.644500732422
0.004,0.3828125,0.080078125,0.42578125,0.683563232422
0.004,0.443359375,0.138671875,0.470703125,0.708953857422
0.004,0.404296875,0.244140625,0.470703125,0.669891357422
0.004,0.361328125,0.16796875,0.427734375,0.644500732422
0.004,0.361328125,0.05859375,0.47265625,0.669891357422
0.004,0.41796875,0.232421875,0.4921875,0.695281982422
0.004,0.38671875,0.220703125,0.4609375,0.658172607422
